FL_x,FL_y,FR_x,FR_y,BOT_x,BOT_y,X,Y,Z
165.5935262,267.4334354,280.7878376,291.1359686,615.4676065,165.9865933,0,0,0
211.10239,272.173942,355.2137919,276.9144487,614.9935559,218.1321663,10,0,0
268.4625204,278.3366007,417.7884796,265.0631821,615.4676065,271.6998914,20,0,0
333.881512,285.9214113,471.3562046,254.1600168,615.4676065,325.2676164,30,0,0
414.4701249,295.8764752,518.2872204,244.6790035,615.9416572,377.4131895,40,0,0
415.4182263,251.7897635,521.605575,212.917609,604.5644413,370.7764802,40,0,5
334.8296134,246.5752062,475.1486099,220.028369,604.0903906,321.9492618,30,0,5
267.514419,242.7828008,419.2106316,228.0872303,603.6163399,270.2777394,20,0,5
211.10239,238.9903955,355.2137919,237.0941929,603.6163399,219.0802676,10,0,5
162.2751716,236.6201422,280.7878376,247.9973582,603.6163399,168.8308972,0,0,5
161.3270703,204.3846971,281.2618883,201.5403931,592.239124,172.1492519,0,0,10
208.7321367,204.8587477,358.0580959,195.3777344,591.2910227,220.028369,10,0,10
267.0403684,206.7549504,422.5289862,189.2150758,591.7650733,268.8555874,20,0,10
335.303664,207.229001,477.9929139,184.0005185,591.7650733,318.6309071,30,0,10
416.8403783,207.7030517,525.3979803,178.7859612,592.239124,367.4581255,40,0,10
269.8846724,188.7410251,219.1612513,175.4676065,463.771394,184.9486198,0,25.4,12
313.9713841,189.2150758,278.4175843,172.6233026,463.771394,234.2498889,10,25.4,12
364.2207545,189.2150758,329.1410054,170.2530492,464.7194953,282.6030566,20,25.4,12
420.6327836,188.7410251,375.1239198,167.8827959,465.193546,331.430275,30,25.4,12
486.0517752,188.7410251,415.4182263,165.5125426,464.7194953,380.7315441,40,25.4,12
487.9479779,154.1353267,417.7884796,139.4397561,459.504938,374.5688855,40,25.4,17
423.0030369,156.9796306,377.0201225,139.9138067,459.504938,327.6378697,30,25.4,17
365.1688559,159.8239346,330.0891067,140.3878574,458.5568367,280.706854,20,25.4,17
314.4454348,161.7201373,278.891635,140.3878574,458.5568367,234.2498889,10,25.4,17
269.8846724,163.6163399,218.21315,141.3359587,458.5568367,186.8448225,0,25.4,17
330.0891067,170.7270999,173.1783369,150.816972,336.725816,184.9486198,0,50.8,15
368.4872105,169.3049479,221.5315046,149.8688707,337.1998667,231.8796356,10,50.8,15
409.7296183,168.8308972,264.1960644,148.4467187,338.147968,280.706854,20,50.8,15
457.1346847,166.4606439,304.9644215,148.9207693,338.6220187,328.1119204,30,50.8,15
508.3321564,165.5125426,339.0960693,147.0245667,338.147968,375.9910375,40,50.8,15
509.7543084,145.6024147,340.992272,130.4327934,338.147968,372.6726828,40,50.8,19
458.5568367,148.4467187,305.4384722,130.4327934,337.6739173,325.2676164,30,50.8,19
411.1517703,150.3429213,265.6182164,130.9068441,337.1998667,279.7587527,20,50.8,19
369.4353118,152.239124,221.5315046,129.9587428,337.6739173,233.7758382,10,50.8,19
331.9853094,154.1353267,171.7561849,129.4846921,336.2517653,186.3707718,0,50.8,19
